size relative to human embryo, experiment, KI67 (intensity/area)
Above, Control, 29626395
Above, Control, 29698835
Above, Control, 30049081
Above, Control, 30200309
Above, Control, 30464634
Above, Control, 31022575
Above, Control, 31126887
Above, Control, 31215491
Above, Control, 31257983
Above, Control, 31711778
Above, Control, 31855394
Above, Control, 32299694
Above, Control, 32333065
Above, Control, 32802473
Above, Control, 32866762
Above, Control, 33107573
Above, Control, 33241688
Above, Control, 33327132
Above, Control, 33531071
Above, Control, 34445906
Above, Control, 34452969
Above, Control, 34966065
Above, Control, 35232869
Above, Control, 35241268
Above, Control, 35489915
Above, Control, 35647335
Above, Control, 35726417
Above, Control, 35881984
Above, Control, 36206363
Above, Control, 36707691
Above, Control, 37213295
Above, Control, 37295416
Above, Control, 37894527
Above, Control, 38129913
Above, Control, 39000213
Above, Control, 39151267
Above, Control, 39244063
Above, Control, 39341709
Above, Control, 40895170
Above, Control, 44314462
Above, Control, 44733978
Above, Control, 44773341
Above, Control, 46449574
Above, Control, 46599375
Above, Control, 46928818
Above, Control, 48997351
Above, Control, 52279790
Above, Control, 53323668
Above, Control, 53920486
Above, Control, 55137702
Above, Control, 58782894
Above, Control, 62715363
Above, Control, 64299990
Above, Control, 71452293
Above, Control, 72314607
Above, Inhibitor, 6395828
Above, Inhibitor, 6513214
Above, Inhibitor, 7422444
Above, Inhibitor, 7441502
Above, Inhibitor, 7450290
Above, Inhibitor, 7687060
Above, Inhibitor, 7910824
Above, Inhibitor, 7954120
Above, Inhibitor, 8045571
Above, Inhibitor, 8181995
Above, Inhibitor, 8282685
Above, Inhibitor, 8401614
Above, Inhibitor, 8439767
Above, Inhibitor, 8492693
Above, Inhibitor, 8522727
Above, Inhibitor, 8589661
Above, Inhibitor, 8676940
Above, Inhibitor, 8768278
Above, Inhibitor, 8778727
Above, Inhibitor, 8797646
Above, Inhibitor, 8824455
Above, Inhibitor, 9116449
Above, Inhibitor, 9206313
Above, Inhibitor, 9487965
Above, Inhibitor, 9596162
Above, Inhibitor, 10124954
Above, Inhibitor, 10154124
Above, Inhibitor, 10286453
Above, Inhibitor, 10527320
Above, Inhibitor, 10581855
Above, Inhibitor, 10597460
Above, Inhibitor, 10753997
Above, Inhibitor, 10792742
Above, Inhibitor, 10998292
Above, Inhibitor, 11001414
Above, Inhibitor, 11026142
Above, Inhibitor, 11036355
Above, Inhibitor, 11036842
Above, Inhibitor, 11234065
Above, Inhibitor, 11250038
Above, Inhibitor, 11492169
Above, Inhibitor, 11619274
Above, Inhibitor, 11681982
Above, Inhibitor, 11757499
Above, Inhibitor, 11781860
Above, Inhibitor, 11856895
Above, Inhibitor, 11955159
Above, Inhibitor, 12130706
Above, Inhibitor, 12179802
Above, Inhibitor, 12314098
Above, Inhibitor, 12397766
Above, Inhibitor, 12457902
Above, Inhibitor, 12471755
Above, Inhibitor, 12510977
Above, Inhibitor, 12550516
Above, Inhibitor, 12560014
Above, Inhibitor, 12636324
Above, Inhibitor, 12705902
Above, Inhibitor, 12712710
Above, Inhibitor, 12720156
Above, Inhibitor, 12779606
Above, Inhibitor, 12941507
Above, Inhibitor, 12955858
Above, Inhibitor, 13036636
Above, Inhibitor, 13074405
Above, Inhibitor, 13080230
Above, Inhibitor, 13109288
Above, Inhibitor, 13111504
Above, Inhibitor, 13192610
Above, Inhibitor, 13196809
Above, Inhibitor, 13241110
Above, Inhibitor, 13269965
Above, Inhibitor, 13338190
Above, Inhibitor, 13347475
Above, Inhibitor, 13350262
Above, Inhibitor, 13390466
Above, Inhibitor, 13417695
Above, Inhibitor, 13486939
Above, Inhibitor, 13518975
Above, Inhibitor, 13629303
Above, Inhibitor, 13819580
Above, Inhibitor, 13922752
Above, Inhibitor, 13967463
Above, Inhibitor, 13987461
Above, Inhibitor, 14001589
Above, Inhibitor, 14335456
Above, Inhibitor, 14379787
Above, Inhibitor, 14392535
Above, Inhibitor, 14422888
Above, Inhibitor, 14465670
Above, Inhibitor, 14466656
Above, Inhibitor, 14475074
Above, Inhibitor, 14508744
Above, Inhibitor, 14608354
Above, Inhibitor, 14651655
Above, Inhibitor, 14655603
Above, Inhibitor, 14726623
Above, Inhibitor, 14904519
Above, Inhibitor, 15040657
Above, Inhibitor, 15069317
Above, Inhibitor, 15100547
Above, Inhibitor, 15108270
Above, Inhibitor, 15385675
Above, Inhibitor, 15397220
Above, Inhibitor, 15414221
Above, Inhibitor, 15469665
Above, Inhibitor, 15488417
Above, Inhibitor, 15563591
Above, Inhibitor, 15675999
Above, Inhibitor, 15718177
Above, Inhibitor, 15718559
Above, Inhibitor, 15727524
Above, Inhibitor, 15982914
Above, Inhibitor, 16151216
Above, Inhibitor, 16218550
Above, Inhibitor, 16286764
Above, Inhibitor, 16303314
Above, Inhibitor, 16418347
Above, Inhibitor, 16434776
Above, Inhibitor, 16454018
Above, Inhibitor, 16498001
Above, Inhibitor, 16628179
Above, Inhibitor, 16661548
Above, Inhibitor, 16735543
Above, Inhibitor, 16813891
Above, Inhibitor, 16974187
Above, Inhibitor, 17030429
Above, Inhibitor, 17036812
Above, Inhibitor, 17129918
Above, Inhibitor, 17132197
Above, Inhibitor, 17269083
Above, Inhibitor, 17300909
Above, Inhibitor, 17565970
Above, Inhibitor, 17731533
Above, Inhibitor, 17751758
Above, Inhibitor, 17792995
Above, Inhibitor, 17895037
Above, Inhibitor, 17923897
Above, Inhibitor, 18184406
Above, Inhibitor, 18298104
Above, Inhibitor, 18425398
Above, Inhibitor, 18454472
Above, Inhibitor, 18544173
Above, Inhibitor, 18552258
Above, Inhibitor, 18803903
Above, Inhibitor, 18858181
Above, Inhibitor, 18921816
Above, Inhibitor, 19029360
Above, Inhibitor, 19157286
Above, Inhibitor, 19169811
Above, Inhibitor, 19279000
Above, Inhibitor, 19351509
Above, Inhibitor, 19478856
Above, Inhibitor, 19505490
Above, Inhibitor, 19671046
Above, Inhibitor, 19884264
Above, Inhibitor, 20087390
Above, Inhibitor, 20590931
Above, Inhibitor, 20700760
Above, Inhibitor, 20708327
Above, Inhibitor, 20838692
Above, Inhibitor, 20845079
Above, Inhibitor, 20946296
Above, Inhibitor, 21119620
Above, Inhibitor, 21148041
Above, Inhibitor, 21240761
Above, Inhibitor, 21278517
Above, Inhibitor, 21761922
Above, Inhibitor, 21970848
Above, Inhibitor, 22014989
Above, Inhibitor, 22168797
Above, Inhibitor, 22279690
Above, Inhibitor, 22526081
Above, Inhibitor, 22562439
Above, Inhibitor, 22796641
Above, Inhibitor, 22971281
Above, Inhibitor, 23090966
Above, Inhibitor, 23157887
Above, Inhibitor, 23186949
Above, Inhibitor, 23207153
Above, Inhibitor, 23392383
Above, Inhibitor, 23404923
Above, Inhibitor, 23678520
Above, Inhibitor, 23887560
Above, Inhibitor, 23894583
Above, Inhibitor, 24480127
Above, Inhibitor, 24739894
Above, Inhibitor, 24752999
Above, Inhibitor, 24768786
Above, Inhibitor, 25104223
Above, Inhibitor, 25327848
Above, Inhibitor, 25518194
Above, Inhibitor, 25646308
Above, Inhibitor, 25714155
Above, Inhibitor, 25809114
Above, Inhibitor, 26313364
Above, Inhibitor, 26348639
Above, Inhibitor, 26359347
Above, Inhibitor, 26777033
Above, Inhibitor, 27146566
Above, Inhibitor, 27548027
Above, Inhibitor, 27889980
Above, Inhibitor, 29971054
Above, Inhibitor, 30201729
Above, Inhibitor, 30337231
Above, Inhibitor, 30805622
Above, Inhibitor, 31204683
Above, Inhibitor, 31798842
Above, Inhibitor, 31839261
Above, Inhibitor, 32406916
Above, Inhibitor, 32553109
Above, Inhibitor, 32761881
Above, Inhibitor, 33514952
Above, Inhibitor, 33781583
Above, Inhibitor, 34683669
Above, Inhibitor, 34826710
Above, Inhibitor, 34932143
Above, Inhibitor, 35093195
Above, Inhibitor, 35391993
Above, Inhibitor, 36000909
Above, Inhibitor, 36337969
Above, Inhibitor, 36500434
Above, Inhibitor, 36748825
Above, Inhibitor, 36965690
Above, Inhibitor, 37083586
Above, Inhibitor, 37444673
Above, Inhibitor, 38461797
Above, Inhibitor, 38557788
Above, Inhibitor, 39590932
Above, Inhibitor, 40276057
Above, Inhibitor, 40698111
Above, Inhibitor, 42092776
Above, Inhibitor, 43420012
Above, Inhibitor, 43769289
Above, Inhibitor, 44241465
Above, Inhibitor, 44247787
Above, Inhibitor, 44925817
Above, Inhibitor, 45115082
Above, Inhibitor, 45472687
Above, Inhibitor, 45516282
Above, Inhibitor, 46252342
Above, Inhibitor, 47170341
Above, Inhibitor, 49602142
Above, Inhibitor, 54174248
Above, Inhibitor, 56068629
Above, Inhibitor, 60104885
Above, Inhibitor, 62583429
Above, Inhibitor, 68200141
Above, Inhibitor, 71594638
Above, Inhibitor, 74568878
Below, Control, 1442913
Below, Control, 1495807
Below, Control, 1531704
Below, Control, 1686849
Below, Control, 1858191
Below, Control, 1960527
Below, Control, 2158235
Below, Control, 2237229
Below, Control, 2261319
Below, Control, 2403331
Below, Control, 2453460
Below, Control, 2562808
Below, Control, 2744003
Below, Control, 2777725
Below, Control, 2799509
Below, Control, 2806623
Below, Control, 2959648
Below, Control, 3149853
Below, Control, 3166260
Below, Control, 3176338
Below, Control, 3222185
Below, Control, 3293394
Below, Control, 3296214
Below, Control, 3332150
Below, Control, 3423742
Below, Control, 3438748
Below, Control, 3561013
Below, Control, 3635307
Below, Control, 3661124
Below, Control, 3733739
Below, Control, 3772437
Below, Control, 3804035
Below, Control, 3918793
Below, Control, 3972491
Below, Control, 3983176
Below, Control, 4024004
Below, Control, 4028091
Below, Control, 4046117
Below, Control, 4069529
Below, Control, 4080647
Below, Control, 4106771
Below, Control, 4280333
Below, Control, 4289389
Below, Control, 4292561
Below, Control, 4304317
Below, Control, 4366070
Below, Control, 4378588
Below, Control, 4412212
Below, Control, 4546372
Below, Control, 4546957
Below, Control, 4584390
Below, Control, 4638599
Below, Control, 4701891
Below, Control, 4778057
Below, Control, 4778650
Below, Control, 4946105
Below, Control, 5457509
Below, Control, 5613456
Below, Control, 5638988
Below, Control, 5846327
Below, Control, 5856445
Below, Control, 6155662
Below, Control, 6449125
Below, Control, 6541959
Below, Control, 6718197
Below, Control, 6992826
Below, Control, 7029070
Below, Inhibitor, 1032270
Below, Inhibitor, 1037662
Below, Inhibitor, 1290314
Below, Inhibitor, 1336830
Below, Inhibitor, 1559160
Below, Inhibitor, 1596031
Below, Inhibitor, 1623887
Below, Inhibitor, 1680090
Below, Inhibitor, 1749614
Below, Inhibitor, 1770709
Below, Inhibitor, 1874072
Below, Inhibitor, 1931801
Below, Inhibitor, 2013758
Below, Inhibitor, 2033722
Below, Inhibitor, 2063560
Below, Inhibitor, 2099736
Below, Inhibitor, 2206788
Below, Inhibitor, 2286924
Below, Inhibitor, 2397763
Below, Inhibitor, 2555664
Below, Inhibitor, 2560390
Below, Inhibitor, 2582513
Below, Inhibitor, 2587619
Below, Inhibitor, 2600586
Below, Inhibitor, 2636103
Below, Inhibitor, 2682512
Below, Inhibitor, 2693957
Below, Inhibitor, 2736805
Below, Inhibitor, 2826799
Below, Inhibitor, 2829638
Below, Inhibitor, 2870354
Below, Inhibitor, 2921121
Below, Inhibitor, 2962434
Below, Inhibitor, 3133773
Below, Inhibitor, 3185337
Below, Inhibitor, 3299689
Below, Inhibitor, 3406511
Below, Inhibitor, 3554483
Below, Inhibitor, 3703445
Below, Inhibitor, 3740576
Below, Inhibitor, 3876693
Below, Inhibitor, 3915042
Below, Inhibitor, 4019722
Below, Inhibitor, 4089028
Below, Inhibitor, 4159325
Below, Inhibitor, 4231280
Below, Inhibitor, 4425718
Below, Inhibitor, 4484133
Below, Inhibitor, 4518279
Below, Inhibitor, 4957933
Below, Inhibitor, 5970182
Below, Inhibitor, 5971620
Within, Control, 2255990
Within, Control, 3280660
Within, Control, 3468803
Within, Control, 3541178
Within, Control, 4059487
Within, Control, 4117817
Within, Control, 4305030
Within, Control, 4318187
Within, Control, 4456360
Within, Control, 4532296
Within, Control, 4548544
Within, Control, 4609898
Within, Control, 4621223
Within, Control, 4695045
Within, Control, 4787680
Within, Control, 4789979
Within, Control, 4790897
Within, Control, 4796418
Within, Control, 4910224
Within, Control, 4975115
Within, Control, 5030024
Within, Control, 5074300
Within, Control, 5214309
Within, Control, 5251316
Within, Control, 5268904
Within, Control, 5281837
Within, Control, 5295338
Within, Control, 5389738
Within, Control, 5418230
Within, Control, 5459740
Within, Control, 5524265
Within, Control, 5614545
Within, Control, 5648050
Within, Control, 5682202
Within, Control, 5744443
Within, Control, 5758770
Within, Control, 5819945
Within, Control, 5837645
Within, Control, 5870895
Within, Control, 5873424
Within, Control, 5893741
Within, Control, 5960738
Within, Control, 6117973
Within, Control, 6158723
Within, Control, 6198571
Within, Control, 6212308
Within, Control, 6229692
Within, Control, 6255321
Within, Control, 6270960
Within, Control, 6315334
Within, Control, 6364586
Within, Control, 6464532
Within, Control, 6490758
Within, Control, 6570580
Within, Control, 6605348
Within, Control, 6637232
Within, Control, 6651119
Within, Control, 6657082
Within, Control, 6693439
Within, Control, 6750279
Within, Control, 6757991
Within, Control, 6834735
Within, Control, 6846676
Within, Control, 6894629
Within, Control, 6955882
Within, Control, 6990573
Within, Control, 7057686
Within, Control, 7073306
Within, Control, 7079766
Within, Control, 7113169
Within, Control, 7117601
Within, Control, 7178599
Within, Control, 7238009
Within, Control, 7264965
Within, Control, 7299108
Within, Control, 7358783
Within, Control, 7535481
Within, Control, 7549369
Within, Control, 7554352
Within, Control, 7620375
Within, Control, 7642969
Within, Control, 7649754
Within, Control, 7650699
Within, Control, 7698918
Within, Control, 7744619
Within, Control, 7748054
Within, Control, 7824281
Within, Control, 7988317
Within, Control, 8015308
Within, Control, 8024576
Within, Control, 8143256
Within, Control, 8149614
Within, Control, 8179497
Within, Control, 8209726
Within, Control, 8220236
Within, Control, 8264115
Within, Control, 8309933
Within, Control, 8337529
Within, Control, 8401235
Within, Control, 8548584
Within, Control, 8570895
Within, Control, 8612490
Within, Control, 8659531
Within, Control, 8735523
Within, Control, 8766563
Within, Control, 8777865
Within, Control, 8848587
Within, Control, 8929630
Within, Control, 8976700
Within, Control, 9160391
Within, Control, 9218429
Within, Control, 9235987
Within, Control, 9352413
Within, Control, 9367408
Within, Control, 9452569
Within, Control, 9496871
Within, Control, 9618978
Within, Control, 9625552
Within, Control, 9632058
Within, Control, 9653869
Within, Control, 9671858
Within, Control, 9672298
Within, Control, 9726118
Within, Control, 9830331
Within, Control, 9890733
Within, Control, 9928751
Within, Control, 9953374
Within, Control, 9987467
Within, Control, 10050965
Within, Control, 10060201
Within, Control, 10064070
Within, Control, 10088743
Within, Control, 10148271
Within, Control, 10289415
Within, Control, 10327968
Within, Control, 10346894
Within, Control, 10410566
Within, Control, 10520870
Within, Control, 10575298
Within, Control, 10664442
Within, Control, 10747247
Within, Control, 10787064
Within, Control, 10811072
Within, Control, 10835953
Within, Control, 10976261
Within, Control, 11037551
Within, Control, 11050120
Within, Control, 11050639
Within, Control, 11056939
Within, Control, 11079355
Within, Control, 11153419
Within, Control, 11201864
Within, Control, 11216153
Within, Control, 11286223
Within, Control, 11287764
Within, Control, 11343309
Within, Control, 11369457
Within, Control, 11440923
Within, Control, 11460853
Within, Control, 11510599
Within, Control, 11539925
Within, Control, 11551811
Within, Control, 11587326
Within, Control, 11613199
Within, Control, 11917267
Within, Control, 11928383
Within, Control, 12018740
Within, Control, 12175306
Within, Control, 12348746
Within, Control, 12348965
Within, Control, 12391794
Within, Control, 12453327
Within, Control, 12459904
Within, Control, 12464771
Within, Control, 12585699
Within, Control, 12678908
Within, Control, 12726169
Within, Control, 12754960
Within, Control, 12819771
Within, Control, 12854893
Within, Control, 13099340
Within, Control, 13335335
Within, Control, 13350981
Within, Control, 13355822
Within, Control, 13373244
Within, Control, 13459439
Within, Control, 13728901
Within, Control, 13809435
Within, Control, 14029835
Within, Control, 14140816
Within, Control, 14196981
Within, Control, 14285771
Within, Control, 14570063
Within, Control, 14648795
Within, Control, 14881907
Within, Control, 14902541
Within, Control, 15192708
Within, Control, 15269160
Within, Control, 15276832
Within, Control, 15669674
Within, Control, 15721524
Within, Control, 15801763
Within, Control, 16177262
Within, Control, 16285212
Within, Control, 16778229
Within, Control, 16794508
Within, Control, 16863624
Within, Control, 16947503
Within, Control, 16973873
Within, Control, 16986153
Within, Control, 17151026
Within, Control, 17291450
Within, Control, 20039143
Within, Control, 21260303
Within, Control, 23866477
Within, Inhibitor, 2599703
Within, Inhibitor, 3000073
Within, Inhibitor, 3026315
Within, Inhibitor, 3116947
Within, Inhibitor, 3191440
Within, Inhibitor, 3334916
Within, Inhibitor, 3410788
Within, Inhibitor, 3480856
Within, Inhibitor, 3499313
Within, Inhibitor, 3509208
Within, Inhibitor, 3510306
Within, Inhibitor, 3530219
Within, Inhibitor, 3545200
Within, Inhibitor, 3562131
Within, Inhibitor, 3606767
Within, Inhibitor, 3647598
Within, Inhibitor, 3952470
Within, Inhibitor, 4140117
Within, Inhibitor, 4141447
Within, Inhibitor, 4151509
Within, Inhibitor, 4216028
Within, Inhibitor, 4330800
Within, Inhibitor, 4349071
Within, Inhibitor, 4383784
Within, Inhibitor, 4411867
Within, Inhibitor, 4429762
Within, Inhibitor, 4438351
Within, Inhibitor, 4489643
Within, Inhibitor, 4582537
Within, Inhibitor, 4619377
Within, Inhibitor, 4627993
Within, Inhibitor, 4687273
Within, Inhibitor, 4738643
Within, Inhibitor, 4771900
Within, Inhibitor, 4850329
Within, Inhibitor, 4908158
Within, Inhibitor, 4933635
Within, Inhibitor, 5146456
Within, Inhibitor, 5157853
Within, Inhibitor, 5207853
Within, Inhibitor, 5247019
Within, Inhibitor, 5272053
Within, Inhibitor, 5297721
Within, Inhibitor, 5298452
Within, Inhibitor, 5323904
Within, Inhibitor, 5367450
Within, Inhibitor, 5405510
Within, Inhibitor, 5561678
Within, Inhibitor, 5608860
Within, Inhibitor, 5624602
Within, Inhibitor, 5668623
Within, Inhibitor, 5766096
Within, Inhibitor, 5801949
Within, Inhibitor, 5959803
Within, Inhibitor, 5974887
Within, Inhibitor, 6030852
Within, Inhibitor, 6039041
Within, Inhibitor, 6041801
Within, Inhibitor, 6044808
Within, Inhibitor, 6060284
Within, Inhibitor, 6085560
Within, Inhibitor, 6087738
Within, Inhibitor, 6196392
Within, Inhibitor, 6221871
Within, Inhibitor, 6226540
Within, Inhibitor, 6293235
Within, Inhibitor, 6409932
Within, Inhibitor, 6412832
Within, Inhibitor, 6479523
Within, Inhibitor, 6528719
Within, Inhibitor, 6589443
Within, Inhibitor, 6618830
Within, Inhibitor, 6667755
Within, Inhibitor, 6745761
Within, Inhibitor, 6777864
Within, Inhibitor, 6788348
Within, Inhibitor, 6833376
Within, Inhibitor, 6835575
Within, Inhibitor, 6842607
Within, Inhibitor, 6853419
Within, Inhibitor, 6878978
Within, Inhibitor, 6907944
Within, Inhibitor, 6919856
Within, Inhibitor, 7071173
Within, Inhibitor, 7102208
Within, Inhibitor, 7200019
Within, Inhibitor, 7248927
Within, Inhibitor, 7250458
Within, Inhibitor, 7332232
Within, Inhibitor, 7393593
Within, Inhibitor, 7519434
Within, Inhibitor, 7597364
Within, Inhibitor, 7691333
Within, Inhibitor, 7839374
Within, Inhibitor, 7845231
Within, Inhibitor, 7865049
Within, Inhibitor, 8007674
Within, Inhibitor, 8040335
Within, Inhibitor, 8280038
Within, Inhibitor, 8296765
Within, Inhibitor, 8442446
Within, Inhibitor, 8524637
Within, Inhibitor, 8577281
Within, Inhibitor, 8686685
Within, Inhibitor, 8768733
Within, Inhibitor, 8798182
Within, Inhibitor, 8880684
Within, Inhibitor, 8916573
Within, Inhibitor, 9110656
Within, Inhibitor, 9244457
Within, Inhibitor, 9288568
Within, Inhibitor, 9400015
Within, Inhibitor, 9414235
Within, Inhibitor, 9436812
Within, Inhibitor, 9489848
Within, Inhibitor, 9590277
Within, Inhibitor, 9702724
Within, Inhibitor, 9851556
Within, Inhibitor, 9945805
Within, Inhibitor, 10069757
Within, Inhibitor, 10070600
Within, Inhibitor, 10080759
Within, Inhibitor, 10165106
Within, Inhibitor, 10211171
Within, Inhibitor, 10248934
Within, Inhibitor, 10643413
Within, Inhibitor, 10951671
Within, Inhibitor, 10952165
Within, Inhibitor, 10985276
Within, Inhibitor, 11571473
Within, Inhibitor, 11577042
Within, Inhibitor, 11952288
Within, Inhibitor, 12105844
Within, Inhibitor, 12338028
Within, Inhibitor, 12889224
Within, Inhibitor, 12915019
Within, Inhibitor, 14110011
Within, Inhibitor, 14272571
Within, Inhibitor, 15953842
